Shop Name,City,Neighborhood,Address,Website,Instagram,Category,Vibe,Price Tier,Silo Fit,Contact Email,Contact Name,Google Rating,Outreach Status,Notes
Redo home + design,Nashville,TBD,Nashville (exact address TBD),https://redohomeanddesign.com/,@redohomeanddesign,"Design Objects, Home Goods","Retail boutique and interior designer collective, Nashville design community",$$,Perfect,,,,To Research,
Lejardin,New Orleans,French Quarter,"612 Royal St, New Orleans, LA 70130",,@lejardin,"Design Objects, Home Goods","Local arts, crafts, frames, jewelry in gorgeous courtyard setting",$$,Strong,,,,To Research,
VIOLETAS,Miami,Coral Gables,"257 Miracle Mile, Coral Gables, FL 33134",https://violetashomedesign.com/,@violetashomedesign,"Design Objects, Home Goods",Luxury home decor and furnishings from around the world,$$,Perfect,,,,To Research,
A+R,Los Angeles,Fairfax,"171 South La Brea Ave, Los Angeles, CA 90036",,@aplusrstore,Danish Modern Home Goods,Danish modern homewares and furniture selection,$$-$$$,Perfect,,,,To Research,
Cooper Hewitt Museum Shop,New York,Upper East Side,"2 East 91st Street, New York, NY 10128",https://shop.cooperhewitt.org,@cooperhewitt,Design Museum Shop,"Smithsonian Design Museum shop, design objects and books",$$$,Perfect,,,,To Research,
East Fork,Brooklyn,Boerum Hill,Atlantic Ave (exact address TBD),https://www.eastfork.com/,@eastforkpottery,"Design Objects, Home Goods","Every cool restaurant's favorite pottery, Asheville brand NYC outpost",$$,Perfect,,,,To Research,
Sunday Shop,New Orleans,Lower Garden District,"2025 Magazine St, New Orleans, LA 70130",https://www.sundayshop.co,@sundayshop.co,"Design Objects, Home Goods","Thoughtful wares for an easy and beautiful home, interiors showroom",$$,Perfect,,,,To Research,
Collier West,Brooklyn,Downtown Brooklyn,"Atlantic Avenue, Brooklyn, NY",,@collierwest,Global Artisan Home Goods,"Eclectic art, elegant housewares, vintage furniture, apothecary goods",$$-$$$,Perfect,,,,To Research,
Butter Home,Seattle,Capitol Hill,"1424 11th Ave, Chophouse Row",https://www.butterhomeseattle.com/,@butterhome,"Design Objects, Home Goods","Functional home goods, interesting home decor, gold animal magnets, hidden gem",$$,Perfect,,,,To Research,
Common Things,New York,East Village,"76 East 7th Street, New York, NY",https://common-things.com,@_commonthings_,Home Goods & Design Objects,"Story-forward eclectic goods from unknown artisans, architect-founded",$$$,Perfect,,Komal Kehar,,To Research,
The Six Bells,Brooklyn,Brooklyn Heights,"Brooklyn Heights, Brooklyn, NY",,@thesixbells,Cottagecore Home Goods,"Cottagecore enthusiast haven, cozy homewares and gifts",$$,Strong,,,,To Research,
Fredericks & Mae,New York,Brooklyn,"366 Putnam Ave, Brooklyn, NY 11216",https://fredericksandmae.com/,@fredericksandmae,"Design Objects, Home Goods","Design studio specializing in art of the gift, famous for confetti cutting boards and ceramics",$$,Perfect,,,,To Research,
Aliss,Miami,Downtown,"118 SE 1st St, Miami, FL 33131",https://www.aliss.com/en_us/home-miami-us/,@aliss_usa,"Design Objects, Home Goods",Fashion and home decoration store with contemporary style,$$,Strong,,,,To Research,
Boston General Store,Boston,Brookline,"305 Harvard St, Brookline, MA 02446",https://www.bostongeneralstore.com/,@bostongeneralstore,"Design Objects, Home Goods",Curated high-quality goods emphasizing thoughtful design and utilitarian beauty,$$,Perfect,,,,To Research,
Lake Boutique,Los Angeles,Silver Lake,"Near Santa Monica & Sunset Blvd, Silver Lake, Los Angeles, CA",https://www.lakeboutique.com/,@lakeboutique,"Design Objects, Home Goods","Lifestyle store with ceramics, candles, home goods and handmade pottery",$$,Perfect,,,,To Research,
Patina + Co,Nashville,Green Hills,"2535 8th Avenue South, Nashville, TN",https://www.patinaandco.com/,@patinaandco,"Design Objects, Home Goods",Accessible European antiques and furniture by design-loving friends,$$,Perfect,,,,To Research,
Abode Mercantile,Nashville,East Nashville,"1002 Fatherland St, Ste 101, Nashville, TN 37206",https://www.abodemercantile.com/,@abodemercantile,"Design Objects, Home Goods","Curated home, gift and gourmet pantry with locally made focus",$$,Perfect,,,,To Research,
Local Love CHS,Charleston,James Island,"1890 Andell Bluff Blvd, Johns Island, SC 29455",https://www.locallovechs.com,@locallovechs,"Design Objects, Home Goods",One-stop shop for locally made Charleston products and curated gift boxes,$$,Strong,,,,To Research,
Stryker Studio,Denver,LoHi,"1513 Boulder St, Denver, CO 80211",https://strykerstudio.com,@strykerstudio,"Design Objects, Home Goods",Handmade jewelry and home goods studio where customers can create and purchase pieces,$$,Strong,,,,To Research,
Charleston Museum Shop,Charleston,Downtown,"360 Meeting St, Charleston, SC 29403",https://www.charlestonmuseum.org/shop,@charlestonmuseum,"Design Objects, Home Goods",Americas first museum shop with Charleston history books and heritage gifts,$$,Perfect,,,,To Research,
Cibone,Brooklyn,Greenpoint,Greenpoint (exact address TBD),https://cibone.com/,@cibone_usa,"Design Objects, Home Goods","Beautiful objects that could fit in art gallery, pricey but tasteful",$$,Perfect,,,,To Research,
Porta,Brooklyn,Boerum Hill,Atlantic Ave (exact address TBD),https://porta-nyc.com/,@porta_nyc,"Design Objects, Home Goods","Cool girl taste, small European designers, London founders",$$,Perfect,,,,To Research,
Black Ink,Boston,Harvard Square,Harvard Square (exact address TBD),https://blackinkboston.com/,@blackinkboston,"Design Objects, Home Goods","One stop design shop, clever goods appreciated by intellectual crowd, in-person Fab.com",$$,Perfect,,,,To Research,
Station 7,Seattle,Capitol Hill,1400 15th Ave E,https://station7seattle.com/,@station7seattle,"Design Objects, Home Goods","Historic brick building, handmade home and dry goods, trinkets decor",$$,Perfect,,,,To Research,
Shake The Tree,Boston,North End,"67 Salem St, Boston, MA 02113",https://shakethetreeboston.com,@shakethetreeboston,"Design Objects, Home Goods","North End indie shop with home goods, jewelry, small-batch pantry and apothecary",$$,Perfect,,,,To Research,
SCAD Museum Shop,Savannah,Historic District,"227 Martin Luther King Jr Blvd, Savannah, GA 31401",https://www.scadmoa.org/shop,@scadmoa,"Design Objects, Home Goods","Contemporary art museum shop with design books, art prints, and creative gifts",$$,Perfect,,,,To Research,
City Home,Portland,Central Eastside,Central Eastside (exact address TBD),https://cityhomepdx.com/,@cityhomepdx,"Design Objects, Home Goods","Walk out with anything same day including furniture, no lead times ordering",$$,Perfect,,,,To Research,
Hudson Boston,Boston,South End,South End (exact address TBD),https://hudson-boston.com/,@hudson_boston,"Design Objects, Home Goods","Fashion-forward design elements, decorative vases candles artwork, urban aesthetic",$$,Perfect,,,,To Research,
Plum,Brooklyn,DUMBO,DUMBO (exact address TBD),https://www.plumdumbo.com/,@plumdumbo,"Design Objects, Home Goods","Small shop with beautiful ceramics, glassware and dining items",$$,Perfect,,,,To Research,
Malachite Home,New Orleans,Uptown,"3806 Magazine St Suite 4, New Orleans, LA 70115",,@malachitehome,"Design Objects, Home Goods",Destination boutique for high-end vintage and modern furnishings,$$,Perfect,,,,To Research,
Mogutable,New York,Williamsburg,"130 Grand St, Brooklyn, NY 11249",https://mogutable.com/,@mogutable,"Design Objects, Home Goods","Curated artisanal tableware and home goods, featuring Hasami Porcelain and Kinto",$$,Perfect,,,,To Research,
CityFoundry,Brooklyn,Industry City,Industry City (exact address TBD),http://www.cityfoundry.com/,@cityfoundry,"Design Objects, Home Goods","Spacious antique shop, 20th century furniture, decor and lighting",$$,Perfect,,,,To Research,
Porta,Brooklyn,Boerum Hill,"360 Atlantic Avenue, Brooklyn, NY 11217",https://porta-nyc.com,@porta.nyc,European Tableware,"Curated European artisan tableware, Giancarlo Valle designed",$$$,Perfect,info@porta-nyc.com,Alice Russotti & Francesca del Balzo,,To Research,
Maker & Moss,San Francisco,Hayes Valley,"364 Hayes St, San Francisco, CA 94102",https://makerandmoss.com,@makerandmoss,"Design Objects, Home Goods","Destination for unique provisions for the home, inspired by elemental beauty of organic materials",$$$,Perfect,,,,To Research,
ADORN,New Orleans,French Quarter,"610 Royal St, New Orleans, LA 70130",,@adorn,"Design Objects, Home Goods","Jewelry, art gallery, and pottery store with local artisan pieces",$$,Strong,,,,To Research,
Woodland Mod,Seattle,Ballard,"5330 Ballard Ave NW, Seattle, WA 98107",https://woodlandmod.com/,@woodlandmod,"Design Objects, Home Goods","Scandinavian design home goods, curated from independent makers worldwide",$$,Perfect,,,,To Research,
Blue Bicycle Books,Charleston,King Street,"420 King St, Charleston, SC 29403",https://bluebicyclebooks.com,@bluebicyclebooks,"Design Objects, Home Goods","Independent bookstore with literary gifts, journals, and book-inspired home goods",$$,Maybe,,,,To Research,
Frangipani,Miami,Wynwood,Wynwood (exact address TBD),https://frangipanistore.com/,@frangipanistore,"Design Objects, Home Goods","Eclectic fashion, home decor, gifts from independent designers, vibrant atmosphere",$$,Perfect,,,,To Research,
Workshop Santa Fe,Santa Fe,Plaza,"53 Old Santa Fe Trl, Santa Fe, NM 87501",https://santafedrygoods.com,@workshopsantafe,"Design Objects, Home Goods",Sister store to Santa Fe Dry Goods featuring curated home goods and gifts,$$,Strong,,,,To Research,
Mogutable,Brooklyn,Williamsburg,"130 Grand Street, Brooklyn, NY 11249",https://mogutable.com,@mogutable,"Design Objects, Home Goods","Well-designed, aesthetically-pleasing objects, handmade ceramics, tableware, teaware",$$,Perfect,,,,To Research,
Neighborly,Chicago,Lincoln Square,"Lincoln Square, Chicago, IL",,@neighborlychicago,Local Artists & Chicago Goods,"Local, independent, eco-friendly artists, Chicago twist, Midwest pride",$$,Perfect,,,,To Research,
Something Else,Brooklyn,Cobble Hill,"Cobble Hill, Brooklyn, NY",,@something_else_nyc,Independent Designer Boutique,"Hard-to-find independent designers, exclusive brands, home goods",$$-$$$,Strong,,,,To Research,
Ten Thousand Villages,Asheville,Kenilworth,"60 Kenilworth Knl, Asheville, NC 28805",https://www.tenthousandvillages.com/asheville,@tenthousandvillages,"Design Objects, Home Goods",Fair trade shop with handcrafted home goods and gifts from global artisans,$$,Strong,,,,To Research,
The Future Perfect,New York,NoHo,"55 Great Jones Street, New York, NY 10012",https://www.thefutureperfect.com,@thefutureperfect,"Design Objects, Home Goods","Contemporary design gallery, distinguished and emerging contemporary designers",$$$,Perfect,,,,To Research,
Byron & Blue,Austin,East Austin,"908 E 5th St, Austin, TX 78702",https://byronandblueshop.com,@byronandblue,"Design Objects, Home Goods","Thoughtfully curated home goods, clothing, accessories, gifts and vintage, celebrates independent designers",$$,Strong,,,,To Research,
Assembly Line,Brooklyn,Boerum Hill,Atlantic Ave between Bond and Hoyt,https://www.assemblyline.co/,@assemblyline.co,"Design Objects, Home Goods",Annoyingly pretty Scandinavian brands and local collaborations,$$,Perfect,,,,To Research,
The Perish Trust,San Francisco,Divisadero,"728 Divisadero St, San Francisco, CA 94117",https://www.theperishtrust.com,@theperishtrust,"Design Objects, Home Goods","Modern day general store, diligently collect, craft and curate well worn homegoods, finest local handywork",$$,Perfect,,,,To Research,
Esqueleto,Los Angeles,Los Feliz,"Los Feliz, Los Angeles, CA",https://shopesqueleto.com,@shopesqueleto,Handcrafted Jewelry & Home Goods,"Handcrafted jewelry, art, and home goods in flagship location",$$-$$$,Perfect,,,,To Research,
Mod Livin,Denver,Park Hill,"5327 E Colfax Ave, Denver, CO 80220",https://modlivin.com,@modlivin,"Design Objects, Home Goods",Affordable mid-century classics and modern furniture since 2001,$$,Perfect,,,,To Research,
Neighborly,Chicago,Wicker Park,"1554 N Milwaukee Ave, Chicago, IL 60622",https://neighborlyshop.com/,@neighborlyshop,"Design Objects, Home Goods",Woman-owned shop supporting 200+ small businesses with ethically-made home goods and gifts,$$,Perfect,,,,To Research,
Jack + Lola,Austin,South Austin,South Austin (exact address TBD),https://jackandlola.co/,@jackandlola,"Design Objects, Home Goods","Small batch goods with Western influence, Austin-inspired items",$$,Perfect,,,,To Research,
Propeller,San Francisco,Hayes Valley,"Hayes Valley, San Francisco, CA",,@propellersf,Modern Local Home Goods,"Must-see Hayes Valley spot, modern local flair, great staff",$$-$$$,Perfect,,Lorn Dittfeld,,To Research,
Sfingiday,Austin,South Lamar,"2058 S Lamar Blvd, Austin, TX 78704",https://www.sfingiday.com/,@sfingiday,"Design Objects, Home Goods",Woman-owned small business featuring local handmade goods and custom candles,$$,Perfect,,,,To Research,
Fig + Yarrow,Denver,LoHi,"3600 Tejon St, Denver, CO 80211",https://www.figandyarrow.co,@figandyarrow,"Design Objects, Home Goods",All-natural clean beauty and wellness products in historic firehouse setting,$$,Strong,,,,To Research,
A Custom House,Austin,Central Austin,"4626 Burnet Rd, Austin, TX 78756",https://www.acustomhouse.com/,@acustomhouseaustin,"Design Objects, Home Goods","Interior design studio and retail space with antique furniture, art and accessories",$$,Perfect,,,,To Research,
Grit & Grace Studio,Charleston,King Street,"125 King St, Charleston, SC 29401",https://www.gritandgracestudio.com,@gritandgracestudiolove,"Design Objects, Home Goods",Woman-owned sustainable studio crafting Lowcountry jewelry and oyster shell decor,$$,Strong,,,,To Research,
row.,Miami,Sunset Harbour,"Sunset Harbour, Miami Beach, FL",https://shoprowmiami.com/,@shoprowmiami,"Design Objects, Home Goods",Local luxury homeware retailer with curated collection of curious objects from emerging brands,$$,Perfect,,,,To Research,
Tesuque Glassworks,Santa Fe,Tesuque,"1 Tesuque Village Market, Tesuque, NM 87574",https://tesuqueglassworks.com,@tesuqueglassworks,"Design Objects, Home Goods",Glass studio and gallery with handblown glass art and functional home pieces,$$,Strong,,,,To Research,
Candid Home,Los Angeles,Silver Lake,"3039 Sunset Blvd, Los Angeles, CA 90027",https://candidhome.co,@candidhome,Vintage Furniture & Home Goods,"Colorful design store, vintage + sustainable modern, TV/film expertise",$$,Perfect,,Ashley Leahy,,To Research,
Watson Kennedy Fine Home,Seattle,Downtown,"1022 1st Ave, Seattle, WA 98104",https://watsonkennedy.com/,@watsonkennedy,"Design Objects, Home Goods","Stylish gifts and delightful homewares, fine china, over 20 years",$$,Perfect,,,,To Research,
Spartan Shop,Portland,SE Grand,"1210 SE Grand Ave, Portland, OR 97214",https://spartan-shop.com/,@spartanshop,"Design Objects, Home Goods","Curated eclectic minimalism like an art gallery, designer furniture",$$$,Perfect,,,,To Research,
Jinxed,Philadelphia,Fishtown,"1331 Frankford Ave, Philadelphia, PA 19125",https://jinxedphiladelphia.com,@jinxedstore,"Design Objects, Home Goods",Vintage furniture and housewares with 5 Philly locations,$$,Perfect,,,,To Research,
Patina + CO,Nashville,TBD,Nashville (exact address TBD),https://patina-co.com/,@patinaco,"Design Objects, Home Goods","Antiques accessible to everyone, volume and quality blend, sideboards chairs candles",$$,Perfect,,,,To Research,
Fredericks & Mae,New York,Lower East Side,"6 Allen Street, New York, NY",https://fredericksandmae.com,@fredericksandmae,Design Objects & Kitchen,"Famous for confetti cutting boards, wavy ceramics, art prints",$$$,Perfect,,,,To Research,
Burro,Los Angeles,Venice,"1409 Abbot Kinney Blvd, Venice, CA 90291",https://burrogoods.com,@burrogoods,Independent Boutique & Gifts,"Abbot Kinney staple, open daily 10:30am-6pm",$$,Strong,,,,To Research,
Common Things,NYC,East Village,76 East 7th Street,https://common-things.com/,@common_things_nyc,"Design Objects, Home Goods","Eclectic goods from unknown makers, cobalt blue storefront",$$,Perfect,,,,To Research,
Primecut,Portland,Central Eastside,Central Eastside (exact address TBD),https://www.primecutbags.com/,@primecutbags,"Design Objects, Home Goods",Dope leather bags and stylish design-forward gifts for the less expected,$$,Perfect,,,,To Research,
Hennepin Made,Minneapolis,Northeast,"1621 E Hennepin Ave, Minneapolis, MN 55414",https://hennepinmade.com,@hennepinmade,"Design Objects, Home Goods","Artisan-crafted glass lighting studio and showroom, sustainably made in Minneapolis",$$$,Perfect,,,,To Research,
Hoppe Shoppe,Portland,Central Eastside,Central Eastside (exact address TBD),https://hoppeshoppe.com/,@hoppeshoppe,"Design Objects, Home Goods","Former NYC stylist owner, gorgeous dinnerware candles lighting textiles, next level curation",$$,Perfect,,,,To Research,
Gohar World,New York,Nolita,"181 Lafayette Street, New York, NY",https://gohar.world,@goharworld,Tableware & Candles,"Sculptural curio cabinet, antique servingware, baguette candles",$$$,Perfect,,Laila & Nadia Gohar,,To Research,
The Boutique Charleston,Charleston,King Street,"302 King St, Charleston, SC 29401",https://theboutiquecharleston.com,@theboutiquecharleston,"Design Objects, Home Goods",Charleston institution for nearly 70 years specializing in European porcelain and custom linens,$$,Perfect,,,,To Research,
Collyer's Mansion,Brooklyn,Brooklyn Heights,"179 Atlantic Ave, Brooklyn, NY 11201",https://shopthemansion.com,@collyersmansion,"Design Objects, Home Goods","World of color, print, and pattern, colorful home decor from around the world",$$,Perfect,,,,To Research,
Home Design Store Miami,Miami,Northwest Miami,"3750 NW 46th St, Miami, FL 33142",https://homedesignstoremiami.com,@homedesignstoremiami,"Design Objects, Home Goods",Handmade solid wood furniture with unique personality & soul from global travels,$$,Perfect,,,,To Research,
Gibbes Museum Shop,Charleston,Downtown,"135 Meeting St, Charleston, SC 29401",https://www.gibbesmuseum.org/shop,@gibbesmuseum,"Design Objects, Home Goods","Fine arts museum shop with curated art books, design objects, and unique gifts",$$,Perfect,,,,To Research,
V&J Duncan,Savannah,Historic District,"12 E Taylor St, Savannah, GA 31401",https://vjduncan.com,@vjduncan,"Design Objects, Home Goods",Family-owned antique and design store with curated home furnishings and unique finds,$$,Strong,,,,To Research,
VIOLETAS Lifestyle & Home,Miami,Coral Gables,"257 Miracle Mile, Coral Gables, FL 33134",https://violetashomedesign.com/,@violetashomedesign,"Design Objects, Home Goods",Luxury home decor boutique with hand-selected exclusive accessories from around the world,$$,Perfect,,,,To Research,
Annie's Blue Ribbon General Store,Brooklyn,Park Slope,"232 5th Avenue, Brooklyn, NY 11215",,@anniesblueribbon,General Store & Gifts,Eclectic gift shop with home goods and local finds,$$,Strong,,,,To Research,
Nashville Farmers Market Gift Shop,Nashville,Downtown,"900 Rosa Parks Blvd, Nashville, TN 37208",https://nashvillefarmersmarket.org/,@nashfarmersmarket,"Design Objects, Home Goods",Local artisan marketplace with Tennessee-made goods and gifts,$$,Maybe,,,,To Research,
Gilded Owl,Los Angeles,Beverly Grove,7282 Beverly Blvd,https://www.thegildedowl.com/,@thegildedowl,"Design Objects, Home Goods","Hudson Valley decorative arts gallery, mid-century Italian furniture",$$,Perfect,,,,To Research,
M Collection Home + Design,New York,DUMBO,"14 Jay St, Brooklyn, NY 11201",https://mchdumbo.com/,@mcollectionnyc,"Design Objects, Home Goods",Unique furniture and interior design studio in Brooklyn design district,$$,Perfect,,,,To Research,
Mac & Murphy,Charleston,French Quarter,"19 Fulton St, Charleston, SC 29401",https://macandmurphy.com,@macandmurphy,"Design Objects, Home Goods","Curated lifestyle boutique with modern home goods, gifts, and design objects",$$,Perfect,,,,To Research,
JP General,Portland,Multnomah Village,Multnomah Village (exact address TBD),https://jpgeneralshop.com/,@jpgeneralshop,"Design Objects, Home Goods","Design-forward tabletop jewelry gardening barware, birthday gift destination",$$,Perfect,,,,To Research,
Candid Home,Los Angeles,Silver Lake,"3039 Sunset Blvd, Los Angeles, CA 90026",https://candidhome.co/,@candid.home,"Design Objects, Home Goods",Colorful design store and interior design studio with unique finds from around the world,$$,Perfect,,,,To Research,
Colleen Cloney Duncan Shop,Santa Fe,Museum Hill,"710 Camino Lejo, Santa Fe, NM 87505",https://shopmuseum.org/pages/museum-of-indian-arts-culture,@museumofnewmexico,"Design Objects, Home Goods",Museum of Indian Arts & Culture shop with Native American crafts and design objects,$$,Perfect,,,,To Research,
Asheville Emporium,Asheville,Downtown,"4 Biltmore Ave, Asheville, NC 28801",https://asheville-emporium.com,@ashevilleemporium,"Design Objects, Home Goods","Curated gift shop with local art, jewelry, and Asheville gifts next to Art Museum",$$,Strong,,,,To Research,
Kalon Studios,Los Angeles,Atwater Village,3559.5 Casitas Ave,https://kalonstudios.com/,@kalonstudios,"Design Objects, Home Goods",Minimalist wood furniture with landscaped roof deck,$$,Perfect,,,,To Research,
Lawson-Fenning,Los Angeles,Melrose/Hancock Park,"6824 Melrose Ave, Los Angeles, CA 90038",https://lawsonfenning.com,@lawsonfenning,Modern & Vintage Furniture,"High-design, low-price, mid-century + Scandinavian, handmade + vintage",$$-$$$,Perfect,,Glenn Lawson & Grant Fenning,,To Research,
LDV,Los Angeles,West Hollywood,"156 S. Robertson Blvd, Los Angeles, CA 90048",https://ldv.club,@ldvclub,Restored Art Deco Furniture,Immaculately restored art deco and 70s-era furniture,$$$,Perfect,,Guido Callarelli & Birta Ólafsdóttir,,To Research,
Prism,Seattle,Ballard,5208 Ballard Ave NW,https://www.prismseattle.com/,@prismseattle,"Design Objects, Home Goods","Modern his & her gifts, jewelry ceramics crystals, museum-worthy items",$$,Perfect,,,,To Research,
Simonas,Miami,Design District,"Miami Design District, Miami, FL 33137",https://simonas.us,@simonasluxuryhome,"Design Objects, Home Goods","Two decades of luxury decor expertise, finest china, silverware, glass, heritage and modern brands",$$$,Perfect,,,,To Research,
BEAM,Brooklyn,Williamsburg,"Williamsburg, Brooklyn, NY",https://beambk.com,@beambk,Modern Home Decor & Furniture,"Artfully curated modern furniture, lighting, Scandinavian brands",$$$,Perfect,,,,To Research,
One Fish Two Fish,Savannah,Design District,"401 Whitaker St, Savannah, GA 31401",https://www.onefishstore.com,@onefishstore,"Design Objects, Home Goods",Fine purveyors of style from around the world with home accessories and curated gifts,$$,Perfect,,,,To Research,
found,Seattle,Ballard,"5346 Ballard Ave NW, Seattle, WA 98107",https://www.foundballard.com/,@foundballard,"Design Objects, Home Goods",Vintage and local art boutique with bohemian chic home furnishings from around the world,$$,Perfect,,,,To Research,
The Yo Store,Portland,Northwest Portland,Northwest Portland (exact address TBD),https://yoportland.com/,@yoportland,"Design Objects, Home Goods","Design-forward fashion gifts home kids stuff, well curated full of color",$$,Perfect,,,,To Research,
Tortoise General Store,Los Angeles,Mar Vista,"12701 Venice Blvd, Los Angeles, CA 90066",https://shop.tortoisegeneralstore.com,@tortoisegeneralstore,"Design Objects, Home Goods","Slow and Steady design, Japanese home goods, items that grow in value over time",$$$,Perfect,,,,To Research,
Maker & Moss,San Francisco,Van Ness,"2800 Van Ness Ave, San Francisco, CA 94109",https://makerandmoss.com/,@makerandmoss,"Design Objects, Home Goods",Destination for unique home provisions sourced from local artists and craftspeople,$$,Perfect,,,,To Research,
The Citizenry,New York,SoHo,"22 Crosby Street, New York, NY 10013",https://www.the-citizenry.com,@the_citizenry,"Design Objects, Home Goods","Globally-inspired home decor, artisan-made, ethical craftsmanship meets elevated design",$$$,Perfect,,,,To Research,
NOLA Boards,New Orleans,Garden District,"3316 Magazine St, New Orleans, LA 70115",https://nolaboards.com,@nolaboards,"Design Objects, Home Goods","Handcrafted wooden kitchen accessories, countertops, and local gifts",$$,Perfect,,,,To Research,
Mother Co.,Minneapolis,Northeast,"2400 N Second St, Minneapolis, MN 55411",https://mother-plants.com,@shopmother,"Design Objects, Home Goods","Plant shop with pottery, home goods and design forward products",$$,Perfect,,,,To Research,
The WonderMart,New York,Greenpoint,"141 India St, Brooklyn, NY 11222",https://www.thewondermart.shop/,@shop_thewondermart,"Design Objects, Home Goods","Woman-owned gift shop showcasing handcrafted, locally-made goods from 250+ indie brands",$$,Perfect,,,,To Research,
Rare Device,San Francisco,Divisadero,"600 Divisadero St, San Francisco, CA 94117",https://raredevice.net/,@raredevice,"Design Objects, Home Goods",Woman-owned artist-focused gift store and gallery with design-forward unique gifts,$$,Perfect,,,,To Research,
Take Heart,Austin,East Austin,"East Austin, TX",,@takeheartaustin,Books Ceramics & Japanese Goods,"Japanese incense, independent books, ceramics from local artisans",$$-$$$,Perfect,,,,To Research,
Philadelphia Independents,Philadelphia,Old City,"35 N 3rd St, Philadelphia, PA 19106",https://philadelphiaindependents.com/,@philadelphia_independents,"Design Objects, Home Goods","All handmade, all local - gift boutique featuring 50+ Philadelphia makers",$$,Perfect,,,,To Research,
Maker & Moss,San Francisco,Hayes Valley,"Hayes Street, San Francisco, CA",,@makerandmoss,Natural Home Goods & Local Art,"Natural shapes and materials, local artists and craftspeople",$$-$$$,Perfect,,,,To Research,
Third Man Records,Detroit,Corktown,"441 W Canfield St, Detroit, MI 48201",https://thirdmanstore.com,@thirdmanrecords,"Design Objects, Home Goods","Jack White music store with vinyl, vintage audio equipment, and music-inspired home goods",$$,Maybe,,,,To Research,
Bean + Ro,Minneapolis,Linden Hills,"4528 France Ave S, Minneapolis, MN 55410",https://beanandro.com,@beanandro,"Design Objects, Home Goods","Custom stationery, gifts and home decor with womens apparel",$$,Strong,,,,To Research,
Pop-Up Home,Los Angeles,Melrose Hill,642 N. Western Ave,https://popuphome.com/,@popuphome,"Design Objects, Home Goods",Sculptural vintage furniture and 70s studio pottery,$$,Perfect,,,,To Research,
Beverly's NYC,New York,Lower East Side,"27 Orchard Street, New York, NY",https://beverlys.world,@thatgirlbeverly,Lifestyle & Art,"Fashion stylist's curated space, creative communities focus",$$$,Strong,,Beverly Nguyen,,To Research,
Counter-Space,Los Angeles,Silver Lake,"1837 Hyperion Ave, Los Angeles, CA 90027",,@counterspacela,Art & Design Objects,"Amazing art selection across eras and mediums, designer recommended",$$$,Perfect,,,,To Research,
DOORS NYC,New York,SoHo,"SoHo, New York, NY",https://doors.nyc,@doorsnyc,Concept Store,"Independent fashion, art, beauty talent in SoHo concept store",$$-$$$,Strong,,,,To Research,
Hester & Cook,Nashville,Hillsboro Village,Hillsboro Village (exact address TBD),https://hesterandcook.com/,@hesterandcook,"Design Objects, Home Goods","Paper placemat pads, table runners, dinnerware, well-loved stationary",$$,Perfect,,,,To Research,
Nordic Home,Minneapolis,Southwest,"620 W 58th St, Minneapolis, MN 55419",https://thenordichome.com,@the.nordic.home,"Design Objects, Home Goods",Scandinavian-inspired home furnishings and decor with Nordic design touch,$$,Perfect,,,,To Research,
Place & Gather,Boston,Charlestown,Charlestown (exact address TBD),https://place-gather.com/,@placeandgather,"Design Objects, Home Goods","Massachusetts heritage, boutique lifestyle, throw blankets seasonal decor",$$,Perfect,,,,To Research,
Altar,Portland,Hawthorne,"4933 SE Hawthorne Blvd, Portland, OR 97215",https://altarpdx.com/,@altarpdx,"Design Objects, Home Goods",Boutique focusing on independent designers with sustainable and ethically made home goods,$$,Perfect,,,,To Research,
Big Night West Village,NYC,West Village,236 West 10th Street,https://bignightbk.com/,@bignightbk,"Design Objects, Home Goods","Haven for dinner party hosts, playful NYC apartment fantasy",$$,Perfect,,,,To Research,
Tappan Collective,Los Angeles,Melrose,8200 Melrose Ave (corner from House of Leon),https://www.tappancollective.com/,@tappancollective,"Design Objects, Home Goods","Art gallery with emerging talent, seamlessly integrate art into residential spaces",$$,Perfect,,,,To Research,
Shop in the City,Minneapolis,Southwest,"3930 W 50th St, Minneapolis, MN 55424",https://shopinthecityedina.com,@shopinthecity,"Design Objects, Home Goods","Best Lifestyle Store by Mpls St Paul Magazine, luxury candles and unique gifts",$$,Perfect,,,,To Research,
Jayson Home,Chicago,Lincoln Park,"1885 N Clybourn Ave, Chicago, IL 60614",https://jaysonhome.com,@jaysonhome,Vintage Furniture & Home Decor,"Beloved vintage furniture/decor/botany mecca, re-imagined vintage finds",$$$,Perfect,info@jaysonhome.com,,,To Research,
Glasswing,Seattle,Capitol Hill,"1525 Melrose Ave, Seattle, WA 98122",https://glasswingshop.com/,@glasswingshop,"Design Objects, Home Goods","Multi-brand lifestyle store with clothing and home goods from US, Europe, Japan",$$,Strong,,,,To Research,
Jill Rosenwald Studio,Boston,TBD,Boston (exact address TBD),https://jillrosenwald.com/,@jillrosenwald,"Design Objects, Home Goods","Handmade pottery and ceramics, vibrant colorful designs, local Boston made",$$,Perfect,,,,To Research,
Homebody Denver,Denver,Cherry Creek North,"2920 E 6th Avenue, Denver, CO 80206",https://www.homebodydenver.com,@homebodydenver,"Design Objects, Home Goods",Stylish lifestyle concept store mixing fashion and curated home goods,$$,Perfect,,,,To Research,
